;smartphonename;price;ram;rom;displaysize;provider;os;cpubrand;camrearpixel;camrearcount;camfrontpixel;camfrontcount;numcpu1;numcpu2;clockcpu1;clockcpu2;displayWidth;displayHeight;brandnew;isPortable
217;11;5.99;3;32;6.0;1;0;5.0;13;1.0;16;1.0;4.0;4.0;2.3;1.65;1080.0;2160.0;1.0;1.0
218;14;5.99;4;32;5.5;1;0;5.0;23;1.0;8;1.0;4.0;4.0;2.3;1.6;1080.0;1920.0;1.0;1.0
219;10;5.99;3;32;5.5;1;0;3.0;16;1.0;8;1.0;4.0;4.0;2.2;1.8;1080.0;1920.0;1.0;1.0
220;0;5.69;1;64;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;0.99;0.0
221;0;5.599;1;64;4.0;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.3;0.0;640.0;1136.0;0.99;0.0
222;0;5.59;2;64;4.0;1;1;1.0;12;1.0;2;1.0;2.0;0.0;1.84;0.0;640.0;1136.0;0.99;0.0
223;11;5.49;3;32;5.2;1;0;3.0;13;1.0;16;1.0;4.0;4.0;1.4;1.1;720.0;1280.0;1.0;1.0
224;16;5.49;4;64;5.5;1;0;3.0;12;2.0;5;1.0;8.0;0.0;2.0;0.0;1080.0;1920.0;1.0;1.0
225;0;5.399;1;64;4.0;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.3;0.0;640.0;1136.0;0.95;0.0
228;14;5.29;4;32;5.5;1;0;5.0;23;1.0;8;1.0;4.0;4.0;2.3;1.6;1080.0;1920.0;1.0;1.0
229;13;5.29;3;32;5.6;1;0;0.0;13;1.0;8;1.0;8.0;0.0;1.6;0.0;720.0;1480.0;1.0;1.0
231;0;5.09;1;64;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;0.95;0.0
232;13;4.99;3;32;5.5;1;0;0.0;13;1.0;8;1.0;8.0;0.0;1.6;0.0;1080.0;1920.0;1.0;1.0
233;10;4.99;3;32;5.5;1;0;3.0;16;1.0;8;1.0;4.0;4.0;1.4;1.1;1080.0;1920.0;1.0;1.0
234;16;4.99;4;32;5.5;1;0;3.0;12;2.0;5;1.0;8.0;0.0;2.0;0.0;1080.0;1920.0;1.0;1.0
235;5;4.99;4;64;5.8;1;0;2.0;16;2.0;13;2.0;4.0;4.0;2.36;1.7;1080.0;2160.0;1.0;1.0
236;11;4.99;3;32;5.7;1;0;5.0;13;1.0;8;1.0;4.0;4.0;2.5;1.6;720.0;1440.0;1.0;1.0
237;14;4.99;3;32;5.5;1;0;5.0;13;1.0;8;1.0;4.0;0.0;1.5;0.0;720.0;1280.0;1.0;1.0
238;5;4.89;4;64;5.8;1;0;2.0;16;2.0;13;2.0;4.0;4.0;2.36;1.7;1080.0;2160.0;1.0;1.0
